parent_symbol,child_symbol,beta,PIP,LFSR
SREBF1,AKAP8,-0.0045876715976244,0.0,0.0
STAT1,AKAP8,-0.00201319077795963,0.0,0.3185
STAT2,AKAP8,0.0108557338757989,0.0,0.0
STAT3,AKAP8,0.00253868385963658,0.0,0.0005
STAT5A,AKAP8,-0.0082823170400803,0.0,0.0
STAT5B,AKAP8,0.00448435315853445,0.0,0.0
TBX21,AKAP8,-0.0139081995915057,0.0,0.0
TCF3,AKAP8,0.00747152930898894,0.0,0.0
TET2,AKAP8,0.00453732416563232,0.0,0.0
TNFAIP3,AKAP8,0.00742644170508305,0.0,0.0
TP53,AKAP8,0.00140028166552087,0.0,0.0035
TTF1,AKAP8,0.00987002289471802,0.0,0.0
YBX1,AKAP8,-0.00681181065264717,0.0,0.0
YBX3,AKAP8,-0.00714954744635181,0.0,0.0
YY1,AKAP8,0.00337939859848367,0.0,0.0
ZBTB14,AKAP8,0.00633813558953881,0.0,0.0
ZBTB24,AKAP8,0.00183983133192206,0.0,0.361
ZFP3,AKAP8,0.00207471010888525,0.0,0.3265
ZKSCAN1,AKAP8,-0.00770439232272732,0.0,0.0
ZNF217,AKAP8,0.00588133126821722,0.0,0.0
ZNF319,AKAP8,-0.000234901932270369,0.0,0.3585
ZNF329,AKAP8,-0.00339072071867944,0.0,0.003
ZNF331,AKAP8,0.00203009591448806,0.0,0.358
ZNF341,AKAP8,-0.00230195359583988,0.0,0.0005
ZNF575,AKAP8,-0.00291816047615727,0.0,0.3645
ZNF655,AKAP8,0.00460095729784098,0.0,0.0005
ZNF708,AKAP8,0.0106309357876004,0.0,0.0
ZNF791,AKAP8,0.00151792562878629,0.0,0.003
AIRE,ARID5A,-0.0192113680800834,0.0,0.0
AKAP8,ARID5A,-0.00307560130199536,0.0,0.0
ATMIN,ARID5A,-0.00101207391188114,0.0,0.0465
ATXN7L3,ARID5A,0.00491880558036998,0.0,0.0
BACH2,ARID5A,0.00656555027681765,0.0,0.0
